service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10,1,1,1,1,1,0,0,20230226,20230610
12,0,0,0,0,0,1,0,20230226,20230610
13,0,0,0,0,0,0,1,20230226,20230610
16,1,1,1,1,1,0,0,20230226,20230610
18,0,0,0,0,0,1,0,20230226,20230610
19,0,0,0,0,0,0,1,20230226,20230610
22,1,1,1,1,1,0,0,20230226,20230610
24,0,0,0,0,0,1,0,20230226,20230610
25,0,0,0,0,0,0,1,20230226,20230610
28,1,1,1,1,1,0,0,20230226,20230610
30,0,0,0,0,0,1,0,20230226,20230610
31,0,0,0,0,0,0,1,20230226,20230610
40,1,1,1,1,1,0,0,20230226,20230610
42,0,0,0,0,0,1,0,20230226,20230610
43,0,0,0,0,0,0,1,20230226,20230610
46,1,1,1,1,1,0,0,20230226,20230610
48,0,0,0,0,0,1,0,20230226,20230610
49,0,0,0,0,0,0,1,20230226,20230610
52,1,1,1,1,1,0,0,20230226,20230610
54,0,0,0,0,0,1,0,20230226,20230610
55,0,0,0,0,0,0,1,20230226,20230610
